"","year","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"12",1990,0.226207316665322,0.511474422625527,2.82938038972106,2.99036174590531,1.59902568845335,1.59794181833356,0.468117778861436,0.245356262760828,0.0556397918510953,0.0129575345243698,NA,NA,NA,NA,NA,NA
"13",1991,0.0652784988364984,0.478228482914529,1.96898651541436,2.68016471390763,1.66721330948546,1.18257473316408,0.533163828864138,0.201491996944376,0.0382592801344398,0.0172577529483446,0.0114946583382473,0.00585198588459263,NA,NA,NA,NA
"14",1992,0.0924013065298036,0.318818118781644,1.36332211135867,2.7779035628151,2.06932420186111,0.608138568725682,0.0989968238684296,0.0263821724828542,0.00684581697513814,NA,NA,NA,NA,NA,NA,NA
"15",1993,0.030517227758055,0.189117619994456,0.682346050289827,0.85855492361304,0.974489953278306,0.498585697707738,0.146844651633896,0.0483195046048566,0.00571362505544106,0.00449161371755696,NA,NA,NA,NA,NA,NA
"16",1994,0.288082921831302,0.225214162925526,0.792711782518249,0.663964886043958,0.824075872650421,0.417995920853506,0.128824404086039,0.0357139825915699,0.0112886690448757,NA,NA,NA,NA,NA,NA,NA
"17",1995,0.672875999735216,0.320199397737621,0.855673746289198,0.48350081934095,0.428360763731483,0.114510985030775,0.0659387195927606,0.0260957248956359,0.00952734237719905,NA,NA,NA,NA,NA,NA,NA
"18",1996,0.400501341022118,0.432696912547393,1.25390193669938,1.02713185615506,0.718159832104115,0.198148188863045,0.0474421361801717,0.0115977863430761,0.00633995664198106,0.00230267639632439,NA,NA,NA,NA,NA,NA
"19",1997,0.478816886475556,0.966947556505549,1.03516082499225,0.709589722902687,0.93717179699196,0.430630580127924,0.127666121763085,0.0254060504129762,0.00279241883778797,NA,NA,NA,NA,NA,NA,NA
"20",1998,0.0168060985179881,0.376224305152936,1.2878854515914,0.633250951273367,0.512059838087415,0.307046282810696,0.123946254997818,0.0219119520684623,0.00869167604212993,0.00218943122678098,0.000254265884952617,NA,NA,NA,NA,NA
"21",1999,0.381386545682293,1.23461034487854,1.85518961122123,0.923000334245111,0.736133946099081,0.329388703512361,0.0904097381839372,0.0197918769940358,NA,NA,NA,NA,NA,NA,NA,NA
